Interrupt Source (1),XC32 Vector Name,IRQ #,Vector #,Flag,Interrupt Enable,Priority Bit Location,Sub-priority Bit Location,Persistent Interrupt
Core Timer Interrupt,CORE_TIMER_VECTOR,0,OFF000<17:1>,IFS0<0>,IEC0<0>,IPC0<4:2>,IPC0<1:0>,No
Core Software Interrupt 0,CORE_SOFTWARE_0_VECTOR,1,OFF001<17:1>,IFS0<1>,IEC0<1>,IPC0<12:10>,IPC0<9:8>,No
Core Software Interrupt 1,CORE_SOFTWARE_1_VECTOR,2,OFF002<17:1>,IFS0<2>,IEC0<2>,IPC0<20:18>,IPC0<17:16>,No
External Interrupt 0,EXTERNAL_0_VECTOR,3,OFF003<17:1>,IFS0<3>,IEC0<3>,IPC0<28:26>,IPC0<25:24>,No
Timer1,TIMER_1_VECTOR,4,OFF004<17:1>,IFS0<4>,IEC0<4>,IPC1<4:2>,IPC1<1:0>,No
Input Capture 1 Error,INPUT_CAPTURE_1_ERROR_VECTOR,5,OFF005<17:1>,IFS0<5>,IEC0<5>,IPC1<12:10>,IPC1<9:8>,Yes
Input Capture 1,INPUT_CAPTURE_1_VECTOR,6,OFF006<17:1>,IFS0<6>,IEC0<6>,IPC1<20:18>,IPC1<17:16>,Yes
Output Compare 1,OUTPUT_COMPARE_1_VECTOR,7,OFF007<17:1>,IFS0<7>,IEC0<7>,IPC1<28:26>,IPC1<25:24>,No
External Interrupt 1,EXTERNAL_1_VECTOR,8,OFF008<17:1>,IFS0<8>,IEC0<8>,IPC2<4:2>,IPC2<1:0>,No
Timer2,TIMER_2_VECTOR,9,OFF009<17:1>,IFS0<9>,IEC0<9>,IPC2<12:10>,IPC2<9:8>,No
Input Capture 2 Error,INPUT_CAPTURE_2_ERROR_VECTOR,10,OFF010<17:1>,IFS0<10>,IEC0<10>,IPC2<20:18>,IPC2<17:16>,Yes
Input Capture 2,INPUT_CAPTURE_2_VECTOR,11,OFF011<17:1>,IFS0<11>,IEC0<11>,IPC2<28:26>,IPC2<25:24>,Yes
Output Compare 2,OUTPUT_COMPARE_2_VECTOR,12,OFF012<17:1>,IFS0<12>,IEC0<12>,IPC3<4:2>,IPC3<1:0>,No
External Interrupt 2,EXTERNAL_2_VECTOR,13,OFF013<17:1>,IFS0<13>,IEC0<13>,IPC3<12:10>,IPC3<9:8>,No
Timer3,TIMER_3_VECTOR,14,OFF014<17:1>,IFS0<14>,IEC0<14>,IPC3<20:18>,IPC3<17:16>,No
Input Capture 3 Error,INPUT_CAPTURE_3_ERROR_VECTOR,15,OFF015<17:1>,IFS0<15>,IEC0<15>,IPC3<28:26>,IPC3<25:24>,Yes
Input Capture 3,INPUT_CAPTURE_3_VECTOR,16,OFF016<17:1>,IFS0<16>,IEC0<16>,IPC4<4:2>,IPC4<1:0>,Yes
Output Compare 3,OUTPUT_COMPARE_3_VECTOR,17,OFF017<17:1>,IFS0<17>,IEC0<17>,IPC4<12:10>,IPC4<9:8>,No
External Interrupt 3,EXTERNAL_3_VECTOR,18,OFF018<17:1>,IFS0<18>,IEC0<18>,IPC4<20:18>,IPC4<17:16>,No
Timer4,TIMER_4_VECTOR,19,OFF019<17:1>,IFS0<19>,IEC0<19>,IPC4<28:26>,IPC4<25:24>,No
